id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,video,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant,gtin,quantity_to_sell_on_facebook,custom_label_4,rich_text_description,internal_label,external_variant_id, is_woo_all_products_sync
90006987,"Norton 360 Standard - 1-Year / 1-Device - USA/Canada","This is a one year pre-paid subcription of Norton 360 Standard for 1 device. 
 
Renews Automatically each year. (Enrollment with Norton is required but can be cancelled at any time) 
 
Enrollment - Credit/Debit Card or PayPal required for activation (Auto-renewal direct with Norton) and can be switched off at any time after the product is activated. 
 
Norton 360 Standard includes: 
 
- Real-time Threat Protection 
- Secure VPN 
- Smart Firewall 
- Password Manager 
- 10 GB Cloud Backup 
- SafeCam",https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/wp-content/uploads/2025/01/Norton-360-Deluxe-Subscription-5-Devices-500x500-2.webp,https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/product/norton-360-standard-1-year-1-device-usa-canada/,"Android, Antimalware, AntiVirus, Windows","Norton","90USD","in stock",90006987,,,,"/","43.5USD",new,"hidden",,,,,"321",,,,"9","https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/fbcollection/","This is a one year pre-paid subcription of Norton 360 Standard for 1 device.

Renews Automatically each year. (Enrollment with Norton is required but can be cancelled at any time)

Enrollment - Credit/Debit Card or PayPal required for activation (Auto-renewal direct with Norton) and can be switched off at any time after the product is activated.

Norton 360 Standard includes:

- Real-time Threat Protection
- Secure VPN
- Smart Firewall
- Password Manager
- 10 GB Cloud Backup
- SafeCam",['no_shipping_class'],90006987,
90006989,"Norton 360 Deluxe with LifeLock Select - 1-Year / 5-Device","Norton 360 with LifeLock Select
Protection from viruses, hackers, and identity thieves. A VPN to help keep your internet browsing private, plus parental control.

All-in-one protection for your devices, online privacy, and identity

Norton 360 with LifeLock Select gives you comprehensive malware protection for up to 5 PC, Mac�, Android� or iOS devices, including 100GB of secure Cloud Backup and Secure VPN for all 5 devices.

Also included are features such as Parental Control to help protect your children online, and Dark Web Monitoring, where we monitor and notify you if we find your personal information on the dark web.

LifeLock identity theft protection includes Stolen Wallet protection, Credit Monitoring and the LifeLock Identity Alert� System. Plus, get up to $25k in Stolen Funds Reimbursement and up to $1 million in Coverage for Lawyers and Experts if needed to help restore your identity.",https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/wp-content/uploads/2025/01/Norton-360-Premium-10-devices-500x500-1.webp,https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/product/norton-360-deluxe-with-lifelock-select-1-year-5-device/,"Android, Antimalware, AntiVirus, iOS, MacOS, Office Sofware","Norton","210USD","in stock",90006989,,,,"/","200USD",new,"hidden",,,,,"321",,,,"9","https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/fbcollection/","Norton 360 with LifeLock Select
Protection from viruses, hackers, and identity thieves. A VPN to help keep your internet browsing private, plus parental control.

All-in-one protection for your devices, online privacy, and identity

Norton 360 with LifeLock Select gives you comprehensive malware protection for up to 5 PC, Mac�, Android� or iOS devices, including 100GB of secure Cloud Backup and Secure VPN for all 5 devices.

Also included are features such as Parental Control to help protect your children online, and Dark Web Monitoring, where we monitor and notify you if we find your personal information on the dark web.

LifeLock identity theft protection includes Stolen Wallet protection, Credit Monitoring and the LifeLock Identity Alert� System. Plus, get up to $25k in Stolen Funds Reimbursement and up to $1 million in Coverage for Lawyers and Experts if needed to help restore your identity.",['no_shipping_class'],90006989,
90006992,"Norton Secure VPN - 1-Year / 5-Device","Norton Secure VPN 
Secure private information like your passwords, bank details and credit card numbers when using public Wi-Fi on your PC, Mac or mobile device. 
 
Why use Norton Secure VPN? 
Some VPN companies can see all the websites you visit. Choosing a brand 
you can trust is paramount. 
 
Norton Secure VPN gives you: 
 
Online privacy 
Helps protect your online privacy by shielding your internet data and your location from advertisers, websites and cybercriminals. 
Can block ad tracking technologies to avoid being tracked online by advertisers and other companies, helping to eliminate many of the targeted ads that follow you around the web. 
Content access 
Can enable global access to your favorite apps and websites while on the go, just like home. 
Wi-Fi security 
Lets you check email, interact on social media and pay bills using public Wi-Fi hotspots without worrying about cybercriminals intercepting the information you send and receive on a shared network. 
Privacy & security 
Uses bank-grade encryption to help ensure the information you send and receive is secure and private.",https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/wp-content/uploads/2025/01/Norton-Secure-VPN-1-yr-Generic-500x500-2.webp,https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/product/norton-secure-vpn-1-year-5-device/,"VPN, Android, iOS, MacOS, Office Sofware, Windows","Norton","45USD","out of stock",90006992,,,,"/","43USD",new,"hidden",,,,,"321",,,,,"https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/fbcollection/","Norton Secure VPN
Secure private information like your passwords, bank details and credit card numbers when using public Wi-Fi on your PC, Mac or mobile device.

Why use Norton Secure VPN?
Some VPN companies can see all the websites you visit. Choosing a brand
you can trust is paramount.

Norton Secure VPN gives you:

Online privacy
Helps protect your online privacy by shielding your internet data and your location from advertisers, websites and cybercriminals.
Can block ad tracking technologies to avoid being tracked online by advertisers and other companies, helping to eliminate many of the targeted ads that follow you around the web.
Content access
Can enable global access to your favorite apps and websites while on the go, just like home.
Wi-Fi security
Lets you check email, interact on social media and pay bills using public Wi-Fi hotspots without worrying about cybercriminals intercepting the information you send and receive on a shared network.
Privacy &amp; security
Uses bank-grade encryption to help ensure the information you send and receive is secure and private.",['no_shipping_class'],90006992,
90006997,"McAfee Total Protection - 1-Year / 3-Devices","Powerful PC Protection 
 
Stay safe from Trojans, viruses, spyware, rootkits, and more, with state-of-the-art anti-malware protection 
Stop worrying about performance hits�the advanced scanning engine checks for threats quickly without compromising battery performance 
Keep zero-day threats and botnets at bay�McAfee ActiveProtection� and NetGuard� technology have you covered 
 
Folder and File Encryption 
 
Secure your identity and data by locking your confidential files in a password-protected vault 
 
Social Network Protection 
 
Create brief, trustworthy URLs with a Safe URL Shortener and spread the news, not spam or malware 
 
Wireless Network Protection 
 
Keep eavesdroppers away from your passwords and personal files when connected to open wireless networks 
 
Privacy and PC Optimization Tools 
 
Find and patch holes in Windows and applications with McAfee Vulnerability Scanner 
Enhance your PC's performance by deleting unnecessary files with McAfee QuickClean� 
Securely destroy sensitive files, such as tax documents, with McAfee Shredder� 
 
Additional Features 
 
Effective Parental Controls 
 
Block inappropriate sites and set time limits for Internet use 
Check user login times, attempts to access forbidden sites, and total time spent online 
See what your kids have been up to online with a detailed usage report 
 
Spam and Dangerous Email Filter 
 
Make sure dangerous and annoying emails never make it into your inbox with McAfee's most accurate filter yet 
 
Two-Way Firewall 
 
Shut out hackers and prevent malicious software from exploiting your OS or stealing your information 
 
Network Intrusion Security 
 
Find out if someone is stealing your Internet connection�My Home Network shows you all your connected devices 
 
Advanced Web Protection 
 
Know if a site you're about to visit is dangerous with McAfee SiteAdvisor��just look for the red, yellow, and green safety ratings 
Stay protected from phishing URLs in email and instant messages with the SiteAdvisor� LIVE add-on",https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/wp-content/uploads/2025/01/McAfee-Total-Protection-2018-500x500-2.webp,https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/product/mcafee-total-protection-1-year-3-devices-2/,"Android, AntiVirus, iOS, MacOS, Windows","McAfee","100USD","out of stock",90006997,,,,"/","40USD",new,"hidden",,,,,"321",,,,,"https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/fbcollection/","Powerful PC Protection

Stay safe from Trojans, viruses, spyware, rootkits, and more, with state-of-the-art anti-malware protection
Stop worrying about performance hits�the advanced scanning engine checks for threats quickly without compromising battery performance
Keep zero-day threats and botnets at bay�McAfee ActiveProtection� and NetGuard� technology have you covered

Folder and File Encryption

Secure your identity and data by locking your confidential files in a password-protected vault

Social Network Protection

Create brief, trustworthy URLs with a Safe URL Shortener and spread the news, not spam or malware

Wireless Network Protection

Keep eavesdroppers away from your passwords and personal files when connected to open wireless networks

Privacy and PC Optimization Tools

Find and patch holes in Windows and applications with McAfee Vulnerability Scanner
Enhance your PC's performance by deleting unnecessary files with McAfee QuickClean�
Securely destroy sensitive files, such as tax documents, with McAfee Shredder�

Additional Features

Effective Parental Controls

Block inappropriate sites and set time limits for Internet use
Check user login times, attempts to access forbidden sites, and total time spent online
See what your kids have been up to online with a detailed usage report

Spam and Dangerous Email Filter

Make sure dangerous and annoying emails never make it into your inbox with McAfee's most accurate filter yet

Two-Way Firewall

Shut out hackers and prevent malicious software from exploiting your OS or stealing your information

Network Intrusion Security

Find out if someone is stealing your Internet connection�My Home Network shows you all your connected devices

Advanced Web Protection

Know if a site you're about to visit is dangerous with McAfee SiteAdvisor��just look for the red, yellow, and green safety ratings
Stay protected from phishing URLs in email and instant messages with the SiteAdvisor� LIVE add-on",['no_shipping_class'],90006997,
90007001,"McAfee Total Protection - 1-Year / 5-Devices","Powerful PC Protection 
 
Stay safe from Trojans, viruses, spyware, rootkits, and more, with state-of-the-art anti-malware protection 
Stop worrying about performance hits�the advanced scanning engine checks for threats quickly without compromising battery performance 
Keep zero-day threats and botnets at bay�McAfee ActiveProtection� and NetGuard� technology have you covered 
 
Folder and File Encryption 
 
Secure your identity and data by locking your confidential files in a password-protected vault 
 
Social Network Protection 
 
Create brief, trustworthy URLs with a Safe URL Shortener and spread the news, not spam or malware 
 
Wireless Network Protection 
 
Keep eavesdroppers away from your passwords and personal files when connected to open wireless networks 
 
Privacy and PC Optimization Tools 
 
Find and patch holes in Windows and applications with McAfee Vulnerability Scanner 
Enhance your PC's performance by deleting unnecessary files with McAfee QuickClean� 
Securely destroy sensitive files, such as tax documents, with McAfee Shredder� 
 
Additional Features 
 
Effective Parental Controls 
 
Block inappropriate sites and set time limits for Internet use 
Check user login times, attempts to access forbidden sites, and total time spent online 
See what your kids have been up to online with a detailed usage report 
 
Spam and Dangerous Email Filter 
 
Make sure dangerous and annoying emails never make it into your inbox with McAfee's most accurate filter yet 
 
Two-Way Firewall 
 
Shut out hackers and prevent malicious software from exploiting your OS or stealing your information 
 
Network Intrusion Security 
 
Find out if someone is stealing your Internet connection�My Home Network shows you all your connected devices 
 
Advanced Web Protection 
 
Know if a site you're about to visit is dangerous with McAfee SiteAdvisor��just look for the red, yellow, and green safety ratings 
Stay protected from phishing URLs in email and instant messages with the SiteAdvisor� LIVE add-on",https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/wp-content/uploads/2025/01/McAfee-Total-Protection-2018-500x500-2.webp,https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/product/mcafee-total-protection-1-year-5-devices/,"Android, AntiVirus, iOS, MacOS, Windows","Antiviruspoint.org","100USD","out of stock",90007001,,,,"/","51USD",new,"hidden",,,,,"321",,,,,"https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/fbcollection/","Powerful PC Protection

Stay safe from Trojans, viruses, spyware, rootkits, and more, with state-of-the-art anti-malware protection
Stop worrying about performance hits�the advanced scanning engine checks for threats quickly without compromising battery performance
Keep zero-day threats and botnets at bay�McAfee ActiveProtection� and NetGuard� technology have you covered

Folder and File Encryption

Secure your identity and data by locking your confidential files in a password-protected vault

Social Network Protection

Create brief, trustworthy URLs with a Safe URL Shortener and spread the news, not spam or malware

Wireless Network Protection

Keep eavesdroppers away from your passwords and personal files when connected to open wireless networks

Privacy and PC Optimization Tools

Find and patch holes in Windows and applications with McAfee Vulnerability Scanner
Enhance your PC's performance by deleting unnecessary files with McAfee QuickClean�
Securely destroy sensitive files, such as tax documents, with McAfee Shredder�

Additional Features

Effective Parental Controls

Block inappropriate sites and set time limits for Internet use
Check user login times, attempts to access forbidden sites, and total time spent online
See what your kids have been up to online with a detailed usage report

Spam and Dangerous Email Filter

Make sure dangerous and annoying emails never make it into your inbox with McAfee's most accurate filter yet

Two-Way Firewall

Shut out hackers and prevent malicious software from exploiting your OS or stealing your information

Network Intrusion Security

Find out if someone is stealing your Internet connection�My Home Network shows you all your connected devices

Advanced Web Protection

Know if a site you're about to visit is dangerous with McAfee SiteAdvisor��just look for the red, yellow, and green safety ratings
Stay protected from phishing URLs in email and instant messages with the SiteAdvisor� LIVE add-on",['no_shipping_class'],90007001,
90007088,"Microsoft Office Home 2024 - 1-PC/Mac","Microsoft Office Home 2024 - 1-PC/Mac 
 
- One-time purchase for 1 PC or Mac 
- Classic 2024 desktop versions of Word, Excel, PowerPoint, and OneNote 
- Access to support resources 
- Compatible with Windows 11, Windows 10, or macOS 
- For non-commercial use 
- Works with Microsoft Teams",https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/wp-content/uploads/2025/01/Office-Home-2024-500x500-1.webp,https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/product/microsoft-office-home-2024-1-pc-mac/,"Office Sofware","Microsoft","30USD","in stock",90007088,,,,"/","29USD",new,"hidden",,,,,"321",,,,,"https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/fbcollection/","Microsoft Office Home 2024 - 1-PC/Mac

- One-time purchase for 1 PC or Mac
- Classic 2024 desktop versions of Word, Excel, PowerPoint, and OneNote
- Access to support resources
- Compatible with Windows 11, Windows 10, or macOS
- For non-commercial use
- Works with Microsoft Teams",['no_shipping_class'],90007088,
90007090,"Watchdog Anti-Virus - 1-Year / 1-PC","Watchdog Anti-Virus 
Efficient protection by advanced engines against all types of cyber threats. 
Stops exploit to take over your computer 
Protects with a real-time protection module 
Advanced phishing detection of your documents 
Always up to date with the Offline Scanner 
Extra protection with Cloud Scanner",https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/wp-content/uploads/2025/01/WAV-Generic-500x500-1.webp,https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/product/watchdog-anti-virus-1-year-1-pc/,"AntiVirus, Windows","WatchDog","29USD","in stock",90007090,,,,"/","25USD",new,"hidden",,,,,"321",,,,,"https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/fbcollection/","Watchdog Anti-Virus
Efficient protection by advanced engines against all types of cyber threats.
Stops exploit to take over your computer
Protects with a real-time protection module
Advanced phishing detection of your documents
Always up to date with the Offline Scanner
Extra protection with Cloud Scanner

&nbsp;",['no_shipping_class'],90007090,
90007092,"Watchdog Anti-Virus - 1-Year / 3-PC","Watchdog Anti-Virus 
 
Efficient protection by advanced engines against all types of cyber threats. 
 
  Stops exploit to take over your computer 
  Protects with a real-time protection module 
  Advanced phishing detection of your documents 
  Always up to date with the Offline Scanner 
  Extra protection with Cloud Scanner",https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/wp-content/uploads/2025/01/WAV-Generic-500x500-1.webp,https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/product/watchdog-anti-virus-1-year-3-pc/,"Android, AntiVirus, Windows","WatchDog","69.99USD","in stock",90007092,,,,"/","59.95USD",new,"hidden",,,,,"321",,,,"19","https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/fbcollection/","<strong>Watchdog Anti-Virus</strong>

<strong>Efficient protection by advanced engines against all types of cyber threats.</strong>
<ul>
 	<li>Stops exploit to take over your computer</li>
 	<li>Protects with a real-time protection module</li>
 	<li>Advanced phishing detection of your documents</li>
 	<li>Always up to date with the Offline Scanner</li>
 	<li>Extra protection with Cloud Scanner</li>
</ul>",['no_shipping_class'],90007092,
90007094,"Watchdog Anti-Virus - 1-Year / 5-PC","Watchdog Anti-Virus 
 
Efficient protection by advanced engines against all types of cyber threats. 
 
  Stops exploit to take over your computer 
  Protects with a real-time protection module 
  Advanced phishing detection of your documents 
  Always up to date with the Offline Scanner 
  Extra protection with Cloud Scanner",https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/wp-content/uploads/2025/01/WAV-Generic-500x500-1.webp,https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/product/watchdog-anti-virus-1-year-5-pc/,"Android, AntiVirus, Windows","WatchDog","89.99USD","in stock",90007094,,,,"/","79.95USD",new,"hidden",,,,,"321",,,,,"https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/fbcollection/","<strong>Watchdog Anti-Virus</strong>

<strong>Efficient protection by advanced engines against all types of cyber threats.</strong>
<ul>
 	<li>Stops exploit to take over your computer</li>
 	<li>Protects with a real-time protection module</li>
 	<li>Advanced phishing detection of your documents</li>
 	<li>Always up to date with the Offline Scanner</li>
 	<li>Extra protection with Cloud Scanner</li>
</ul>",['no_shipping_class'],90007094,
90007096,"Watchdog Anti-Virus - 2-Year / 1-PC","Watchdog Anti-Virus 
 
Efficient protection by advanced engines against all types of cyber threats. 
 
  Stops exploit to take over your computer 
  Protects with a real-time protection module 
  Advanced phishing detection of your documents 
  Always up to date with the Offline Scanner 
  Extra protection with Cloud Scanner",https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/wp-content/uploads/2025/01/WAV-Generic-500x500-1.webp,https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/product/watchdog-anti-virus-2-year-1-pc/,"Android, AntiVirus, Windows","WatchDog","69.99USD","in stock",90007096,,,,"/","59.95USD",new,"hidden",,,,,"321",,,,,"https://staging-bf5f-antiviruspointorgdomainonly.wpcomstaging.com/fbcollection/","<strong>Watchdog Anti-Virus</strong>

<strong>Efficient protection by advanced engines against all types of cyber threats.</strong>
<ul>
 	<li>Stops exploit to take over your computer</li>
 	<li>Protects with a real-time protection module</li>
 	<li>Advanced phishing detection of your documents</li>
 	<li>Always up to date with the Offline Scanner</li>
 	<li>Extra protection with Cloud Scanner</li>
</ul>",['no_shipping_class'],90007096,
